violation_id,user_id,phone,notification_id,event_type,channel,dnd_category,message_classification,detected_at,root_cause,provider,resolved,resolution
VIO-00001,user-4507,+919042868828,ntf-00001-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-20T03:01:00Z,RACE_CONDITION,msg91,true,
VIO-00002,user-3583,+919041227216,ntf-00002-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-05T00:05:00Z,STALE_DND_CACHE,msg91,false,CLASSIFICATION_FIXED
VIO-00003,user-107,+919031429110,ntf-00003-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-27T18:17:00Z,WRONG_CLASSIFICATION,twilio,true,CLASSIFICATION_FIXED
VIO-00004,user-6225,+919022981052,ntf-00004-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-13T03:05:00Z,WRONG_CLASSIFICATION,twilio,true,
VIO-00005,user-6202,+919020576383,ntf-00005-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-07T03:59:00Z,WRONG_CLASSIFICATION,twilio,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00006,user-4742,+919020709497,ntf-00006-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-06T21:14:00Z,STALE_DND_CACHE,twilio,false,
VIO-00007,user-6066,+919057683626,ntf-00007-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-20T11:10:00Z,WRONG_CLASSIFICATION,msg91,true,CLASSIFICATION_FIXED
VIO-00008,user-4423,+919095899313,ntf-00008-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-21T14:24:00Z,RACE_CONDITION,twilio,true,CLASSIFICATION_FIXED
VIO-00009,user-4387,+919018883684,ntf-00009-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-05T10:25:00Z,WRONG_CLASSIFICATION,msg91,false,
VIO-00010,user-4340,+919028740864,ntf-00010-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-21T14:09:00Z,WRONG_CLASSIFICATION,twilio,false,CACHE_TTL_REDUCED
VIO-00011,user-8086,+919022201654,ntf-00011-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-29T04:32:00Z,STALE_DND_CACHE,msg91,true,
VIO-00012,user-6253,+919089978790,ntf-00012-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-15T02:24:00Z,WRONG_CLASSIFICATION,msg91,true,CACHE_TTL_REDUCED
VIO-00013,user-4809,+919068353204,ntf-00013-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-21T10:07:00Z,MISSING_SCRUB,msg91,false,CLASSIFICATION_FIXED
